,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
3250,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER,FLAGSTAFF,AZ,86001,COCONINO,U,"1,793.72","51,972",242,"88,572",11302,"54,497",264,"96,624","11,617",38245,183,66978,11302,823144,20681315,7279366,53669149,136492648,262538414,19332445,359540679,712831150,522040090,1234871240,31365073,0,136506808,3742349,169348,0,1790879,87768514,0,73836684,0,8466315,2728281,2664471,178659905,0,0,0,506795649,850026662,16036137,21925745,0,5116075,0,85602268,128680225,0,119771346,0,54580955,174352301,303032526,546994136,546994136,850026662,0,0,715822710,531079590,1246902300,420062499,399031062,21031437,35659478,56690915,0,56690915,0.29,66630267,388176955
3251,ST. JOSEPHS HOSPITAL & MEDICAL CTR,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,R,"4,433.96","153,984",501,"183,366",33406,"166,078",553,"202,398","34,091",97573,309,113094,33406,23137892,32225947,36051126,71462201,395774576,814036148,57477445,804036444,2706632336,1733005252,4439637588,70924114,0,395774576,13302361,96921,3387901,125250483,0,0,746808893,-566369869,23549851,17647761,0,360626462,0,187663990,660266714,847930704,1779171860,54570169,51863894,531168,10963675,14980366,123969393,224078574,0,0,0,314640854,314640854,538719428,1240452432,1240452432,1779171860,59464757,13522740,2731880581,1793504287,4525384868,1089169405,1209810724,-120641319,467768856,347127537,0,347127537,0.18,128087726,1095220957
3252,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403-,MOHAVE,U,618.61,"29,060",144,"52,704",6813,"34,237",163,"59,658","6,813",23213,128,46848,6813,350969,7886046,1369766,9775081,54587954,126413558,4318942,150242219,647164766,651656341,1298821107,9184217,0,54587954,5352931,0,0,41689,0,0,31397056,0,5824231,2493626,0,40097455,0,0,174020716,174020716,231064056,8357725,5211035,673460,0,0,32777031,47019251,-27401417,3563751,0,0,-23837666,23181585,207882471,207882471,231064056,0,0,647164766,664123142,1311287908,228193401,197496801,30696600,5340876,36037476,0,36037476,0.12,16436761,176980355
3253,VALLEY VIEW MEDICAL CENTER,5330 ARIZONA 95,FORT MOHAVE,AZ,86426-,MOHAVE,U,231.89,"7,216",72,"26,280",2144,"8,770",84,"30,660","2,262",5766,60,21900,2144,30628,9345633,887986,3113998,17311943,28892063,1804718,37542510,164014941,275812044,439826985,3320813,0,17311943,629444,0,0,9076,0,0,6083183,0,890259,561509,0,7827164,0,0,2458055,2458055,48212590,968983,1578519,311048,0,0,10959,2869509,60284507,351787,0,0,60636294,63505803,-15293213,-15293213,48212590,0,0,164014940,277831180,441846120,45183248,46015685,-832437,421008,-411429,0,-411429,0.09,6947284,100489013
3254,ARIZONA GENERAL HOSPITAL,7171 S 51ST AVENUE,LAVEEN,AZ,85339,MARICOPA,U,376.63,"1,035",16,"5,840",313,"1,035",16,"5,840",313,1035,16,5840,313,5583971,38347641,11510951,11510951,28270781,67970744,462871,74719228,19128997,722867491,741996488,5585537,0,28270781,318365,0,0,-4680682,0,0,121712262,-106900239,1706667,774040,0,12611581,0,0,120281487,120281487,134531500,7906636,2655043,85855,2697845,0,376611,13883573,0,20251425,0,130666592,150918017,164801590,-30270090,-30270090,134531500,150397,0,20328119,705182112,725510231,93406080,96241525,-2835445,514843,-2320602,0,-2320602,0.1,16037514,24090211
3255,PROVIDENCE LTTL CO MARY MC SAN PEDRO,1300 W SEVENTH STREET,SAN PEDRO,CA,90732-,LOS ANGELES,U,673.36,"22,133",186,"67,890",4527,"74,325",356,"129,940","5,563",19794,174,63510,4527,2773519,2467926,4274877,4274877,79053841,63444536,5627400,170141739,574992540,229827356,804819896,16420880,0,79053841,2127491,32858,0,40355,0,0,25538215,-5537735,1989517,512256,0,57543824,0,22470777,0,22470777,120724333,2713904,4880239,0,0,6000,4740257,19094348,0,0,0,28806876,28806876,47901224,72823109,72823109,120724333,7455058,0,574992540,231328536,806321076,177328235,207640811,-30312576,4580682,-25731894,0,-25731894,0.21,41198314,277874860
3256,SWEDISH MEDICAL CENTER,501 EAST HAMPDEN AVENUE,ENGLEWOOD,CO,80113-,ARAPAHOE,U,"1,641.92","95,121",327,"120,802",19589,"101,921",348,"127,848","20,032",74875,252,93427,19589,11636481,17115171,13917686,42333004,134298228,337260032,36814317,405408581,2885935125,1818498650,4704433775,26731886,0,135368838,3940841,0,216633,65333,719003,0,142940114,-53333809,22861548,3272699,0,111057696,0,0,568817790,571586655,980180411,16666503,10905452,6967558,0,0,-41814,36630782,8956912,-2953419356,1847556,1066303,-2941548585,-2904917803,3885098214,3885098214,980180411,39805243,2108178,2885935125,1818498650,4704433775,625803835,470433136,155370699,1990153,157360852,73,157360779,0.09,47367317,947368165
3257,COMMUNITY HOSPITAL,2351 G ROAD,GRAND JUNCTION,CO,81505,MESA,U,856.22,"8,234",44,"16,060",3135,"8,234",44,"16,060","3,135",5484,32,11680,3135,407566,7413720,2417300,9617329,68112460,99882715,5353114,97342998,147545217,307504749,455049966,7747217,0,68913560,137393,89143,0,11697228,371064,0,25808148,0,3016439,0,1194935,46299680,0,2472369,0,2472369,125735865,8493659,8646046,0,2535212,0,1482503,21157420,0,64939258,0,2501854,67441112,88598532,37137333,37137333,125735865,0,0,152656287,383071223,535727510,189097372,178319494,10777878,2150302,12928180,382430,12545750,0.21,17561535,115636474
3258,ST. FRANCIS HOSPITAL  WILMINGTON,7TH & CLAYTON STREETS,WILMINGTON,DE,19805,,U,706.23,"22,366",146,"53,436",6532,"22,366",146,"53,436","6,532",16124,130,47580,6532,2939147,8960714,5398306,5398306,71740977,94129523,6053542,136779246,192545826,315715341,508261167,12286286,0,71740977,163721,0,289505,469953,3533969,0,10328538,0,4177304,220640,0,21557740,0,0,11388416,11388416,66272568,27659050,9560125,0,2703355,0,7,40768095,0,107768882,0,1750258,109519140,150287235,-84014667,-84014667,66272568,3047472,531812,192545826,313715340,506261166,152602650,165870500,-13267850,10149016,-3118834,2892382,-6011216,0.27,57489495,159270136
3259,WASHINGTON HOSPITAL CENTER,110 IRVING STREET  NW,WASHINGTON,DC,20010-,DC,U,"6,089.90","216,930",723,"264,618",28725,"229,106",769,"281,454","30,425",173610,584,213744,28725,6890640,48674907,26812631,26812631,616704352,792685198,6816926,1081863511,2909103638,1351604976,4260708614,102387919,0,616704352,24729500,1166898,4610225,146768,0,0,512669109,-325727123,22783208,4292588,30496183,260327153,0,0,121569543,121569543,641069513,30603810,27991149,0,0,35678034,224905225,359087668,0,0,0,46881026,46881026,405968694,235100819,235100819,641069513,33278021,34003427,3062598604,1557245723,4619844327,1355473840,1409389550,-53915710,89947844,36032134,-1023147,37055281,0.25,338454605,917735451
3260,ST. ALPHONSUS REGIONAL MED CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706-1309,ADA,U,"3,205.61","77,389",348,"127,368",15955,"78,005",378,"138,348","16,023",60675,282,103212,15955,16330608,27187744,27600571,42115882,268475345,386264069,25582299,498668694,816788608,667886588,1484675196,62016636,0,270580127,1457871,278100,0,245057783,0,219306,91729512,0,12405039,1146698,0,394225573,0,0,151233489,151233489,795945477,93035744,24092185,0,0,0,22882660,140010589,0,199258913,0,0,199258913,339269502,456675975,456675975,795945477,35121500,822600,892528482,828796427,1721324909,607315136,654739414,-47424278,63719788,16295510,703176,15592334,0.34,56602638,226033524
3261,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201-5175,BANNOCK,R,"1,042.97","29,714",137,"50,005",7270,"35,017",165,"60,225","8,129",20854,101,36865,7270,3479014,45472979,14005969,14049158,85786110,222437814,18221608,233644664,446465569,567821567,1014287136,13850676,0,85786110,1914500,0,0,-1373068,0,1151140,86430476,-39522192,7712511,10737990,156510,66185170,0,0,16267361,16564319,160631234,14206984,4792593,140609,1057324,202218,2473294,22873022,0,0,0,12281458,12281458,35154480,125476754,125476754,160631234,6838464,1270562,446465568,623054696,1069520264,334012375,308223924,25788451,2408060,28196511,0,28196511,0.23,33239605,135270049
3262,COPLEY MEMORIAL HOSPITAL,2000 OGDEN AVENUE,AURORA,IL,60504,KANE,U,"1,496.82","48,401",192,"70,272",10732,"53,048",210,"76,860","11,077",34207,157,57462,10732,2026195,26686986,7721170,12186948,126643477,231721172,8124683,282484796,637763118,891522104,1529285222,33543706,0,126643477,965280,0,177026,24651594,0,0,156003632,-108461892,6504979,0,179662096,258360409,0,278753087,5865460,284618547,768309028,30680320,0,0,0,0,23572168,148325375,0,133390823,0,77633743,211024566,359349941,408959087,408959087,768309028,10871910,1268952,637839748,892586061,1530425809,286986171,323202649,-36216478,45688277,9471799,3020000,6451799,0.18,35898562,282786599
3263,SSM HEALTH GOOD SAMARITAN HOSPITAL,1 GOOD SAMARITAN WAY,MT. VERNON,IL,62864,JEFFERSON,R,804.61,"27,738",115,"41,975",8163,"29,888",125,"45,625","8,341",23711,99,36135,8163,2144994,5374865,5570204,23978137,53833578,126084035,12408166,147264445,263767796,299066804,562834600,24082699,0,53614893,0,0,0,36409497,0,0,22769575,0,4323383,1679401,0,67552302,0,3913851,41153544,45067395,275024786,8555527,5190040,121652,2003916,0,732875,16604010,0,165126908,0,-249767,164877141,181481151,92988429,93543635,275024786,0,0,281764002,315277113,597041115,180755833,179917613,838220,12231364,13069584,0,13069584,0.26,8547245,108958868
3264,TOUCHETTE REGIONAL HOSPITAL,5900 BOND STREET,CENTREVILLE,IL,62207,ST. CLAIR,U,389.26,"8,562",123,"44,895",2285,"9,772",123,"44,895","2,285",8495,123,44895,2285,2175296,1746722,3537318,3605986,23595672,33339181,1777733,42509645,16794533,35863149,52657682,5421073,0,23595672,2215536,0,0,2488471,0,0,3461920,0,318365,631346,0,7137221,0,0,1732077,1732077,28539949,4164246,1741358,0,1074483,0,1758319,8738406,0,7988194,0,2927440,10915634,19654040,8885909,8885909,28539949,0,0,18034253,44334672,62368925,52329932,56934853,-4604921,1608393,-2996528,0,-2996528,0.81,9842504,34532109
3265,SILVER CROSS HOSPITAL,1900 SILVER CROSS BLVD.,NEW LENOX,IL,60451,WILL,U,"1,817.70","74,235",259,"94,001",19341,"109,523",284,"106,646","20,317",58611,229,83585,19341,4475856,13869588,12758110,18406719,134472484,251447822,20852580,353576376,574370525,736541312,1310911837,31201775,0,134472484,2590809,0,0,22458000,2220000,0,45795000,0,0,6634000,33009000,153502000,0,0,269632000,269632000,819754000,40553000,19052000,0,7715000,0,43975000,111295000,375207000,0,0,5124000,380331000,491626000,328128000,328128000,819754000,0,0,574370524,726349951,1300720475,436553887,385920306,50633581,17620236,68253817,35917817,32336000,0.27,27887776,124338698
3266,MENDOTA COMMUNITY HOSPITAL,1401 EAST 12TH ST,MENDOTA,IL,61342-9216,LA SALLE,R,156.58,"1,970",25,"9,125",336,"22,319",25,"9,125",336,965,21,7665,336,353251,2076030,1322515,2242637,11964093,19410012,1933675,27008706,7811382,62354959,70166341,0,0,0,0,0,0,1319799,0,0,9955861,-5900737,670364,0,106028,6162809,0,137723,12618475,12756198,33074155,515082,1067918,0,646000,0,40903,3300921,0,0,0,25974534,25974534,29275455,3798700,3798700,33074155,0,0,7953718,65604791,73558509,32574010,31374105,1199905,1921879,3121784,598830,2522954,0.38,3058618,10336430
3267,OPELOUSAS GENERAL HOSPITAL,539 E PRUDHOMME STREET,OPELOUSAS,LA,70570-,,U,930.25,"19,037",151,"55,266",4967,"28,962",197,"72,102","6,027",14627,129,47214,4967,572919,16044768,4847020,25001937,56452845,106590993,8148563,134481445,222359855,350018316,572378171,8359743,0,56452845,5042671,0,0,4953944,22714645,2392105,56110422,-31358993,6213183,2608466,14464,71171812,0,40046685,5259174,45305859,170840337,5217325,3024590,5215902,0,0,2864686,43298640,0,0,0,17801219,17801219,61099859,109740478,109740478,170840337,0,0,182527824,416665686,599193510,126743067,163043838,-36300771,37515063,1214292,0,1214292,0.23,11851528,137132793
3268,RAPIDES REGIONAL MEDICAL CENTER,211 FOURTH STREET,ALEXANDRIA,LA,71301-,,U,"1,315.40","83,043",375,"130,827",14741,"83,207",375,"130,827","14,741",73205,340,118052,14741,5938060,13637775,8182911,9145960,82640506,168580580,11013654,207814417,1457434383,946769916,2404204299,20150455,0,82730702,3131838,0,0,44803,0,0,55104114,-21223627,9666562,1159912,0,44215434,0,1113426,31953665,33067091,158234302,9873546,9080025,3319226,113734,0,537272,22923803,0,439477,-263347779,797392,-262110910,-239187107,397421409,397421409,158234302,13498476,1176831,1457434383,906898103,2364332486,254713521,251221086,3492435,3546315,7038750,15,7038735,0.09,45556014,730402378
3269,DESOTO REGIONAL HEALTH SYSTEM,207 JEFFERSON STREET,MANSFIELD,LA,71052,DE SOTO,U,135.68,"1,317",34,"12,410",444,"48,332",34,"12,410",444,1317,34,12410,444,592,1941252,634084,634084,9904425,12597881,1058701,19695588,3941155,57145249,61086404,1062852,308198,9904425,613704,0,0,3202881,0,0,5609600,-2603834,427047,210091,1941283,8904263,0,1007364,540561,1547925,18554546,2041372,565137,0,0,0,0,2606509,0,213498,0,0,213498,2820007,15734539,15734539,18554546,0,0,4169452,57723626,61893078,20448349,22502306,-2053957,2417136,363179,23967,339212,0.32,6670812,16399816
3270,ALLEN PARISH HOSPITAL,HWY 190 WEST,KINDER,LA,70648,ALLEN,R,75.64,"1,863",25,"9,150",427,"34,115",49,"17,934","1,195",1398,25,9150,427,2626,1265274,560493,560493,6244969,28486093,237230,13814717,17443895,13852528,31296423,780691,120102,6244969,340727,0,0,10207573,0,0,5096068,-3629073,217730,211997,6860640,18911354,0,0,0,0,20771617,667268,601226,173814,29017,9431882,1629692,12532899,0,7135272,0,0,7135272,19668171,1103446,1103446,20771617,0,0,17682793,14151897,31834690,14117834,34731062,-20613228,23211192,2597964,0,2597964,0.44,6819147,12238905
3271,SOUTHCOAST HOSPITALS GROUP,363 HIGHLAND AVENUE,FALL RIVER,MA,2720,BRISTOL,U,"4,546.12","156,192",835,"304,775",34283,"162,346",867,"316,455","34,741",130183,761,277765,34283,5680840,26721905,15948883,15948883,343843754,477981488,48698694,709154607,906544217,1250468280,2157012497,101181660,0,343843754,6903610,0,0,41239689,5503122,0,100480059,-14985084,14533381,11556297,1843266,194604207,0,88692642,329903886,418596528,965442250,44708525,19266888,0,10840385,0,66094358,140910156,205688993,0,0,43529417,249218410,390128566,496506079,575313684,965442250,0,0,906800219,1250816431,2157616650,819176539,821825242,-2648703,79205993,76557290,0,76557290,0.33,149074119,461289888
3272,SINGING RIVER HEALTH SYSTEM,2809 DENNY AVENUE,PASCAGOULA,MS,39581,JACKSON,U,"2,025.36","70,751",328,"119,720",15924,"123,320",398,"145,270","16,667",55775,280,102200,15924,5770842,108585932,23677116,23677116,140427541,234023813,22349155,321459920,1030381301,1208078759,2238460060,24704990,953501,140427541,17470687,8490,0,61918489,0,0,39601654,0,6841792,2794552,3041767,117013511,0,51880208,21101739,72981947,384539924,15072291,20023146,0,13438515,0,11364466,63112249,0,51192000,0,88597759,139789759,202902008,181637916,181637916,384539924,0,0,1059649574,1242074807,2301724381,382619306,374451354,8167952,38480450,46648402,0,46648402,0.14,55383537,270725769
3273,NESHOBA COUNTY GENERAL HOSPITAL,1001 HOLLAND AVENUE,PHILADELPHIA,MS,39350,NESHOBA,R,289.43,"4,461",38,"13,870",1209,"101,967",208,"75,920","1,375",3884,38,13870,1209,276154,4336397,2566157,2942921,23166936,26607555,1036035,42801319,26964545,60920060,87884605,3623489,725198,23166936,913694,67274,0,5922719,11951813,0,22421497,-10648909,556773,433576,233610,48025396,0,0,0,0,67527406,1470867,2152213,265461,1794282,0,2390126,8072949,0,7105540,0,2901,7108441,15181390,52346016,52346016,67527406,0,0,29842138,68266352,98108490,43385936,49774491,-6388555,2499344,-3889211,0,-3889211,0.49,6408171,13884200
3274,SSM SAINT LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,ST. LOUIS,MO,63110,,U,"1,424.82","91,436",292,"106,580",13876,"102,063",332,"121,180","15,501",48356,158,57670,13876,23084905,40695618,31777917,31777917,133589153,472281374,23627909,460955890,1464837582,1033205063,2498042645,8454433,0,133589153,0,0,0,-522091286,0,0,121344412,0,10355772,4386786,0,-383667422,0,16708687,3782640,20491327,93196881,90415993,9423706,-19,640124,0,-47133725,53346079,0,0,0,2322941,2322941,55669020,31917437,37527861,93196881,24309116,19403136,1468215537,1127479217,2595694754,576287153,605870527,-29583374,25605739,-3977635,25240,-4002875,0.18,100679425,657604953
3275,ST. PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601-,LEWIS AND CLARK,R,"1,250.09","20,590",101,"36,966",5905,"47,440",125,"45,750","6,401",17133,91,33306,5905,1480810,5618970,6014437,6725027,108351675,139844754,10661154,184127285,140928930,264496320,405425250,20437412,0,108351675,3507695,41624,0,50636070,0,0,62140380,-35267096,6652061,2432999,0,93979862,0,195995096,767354,196762450,409452320,7586260,87088666,0,3660080,20000,5449881,104868649,0,18016598,0,0,18016598,122885247,286567073,286567073,409452320,0,0,149351259,325531367,474882626,239931362,248196429,-8265067,21082620,12817553,1682580,11134973,0.45,15899683,57907253
3276,BOZEMAN DEACONESS HEALTH SERVICES,915 HIGHLAND BLVD,BOZEMAN,MT,59715-,GALLATIN,R,"1,544.96","22,929",83,"30,295",7360,"22,929",83,"30,295","7,360",18007,75,27375,7360,2959141,6928273,8839748,8839748,117413646,197804922,16034150,232704235,160701414,327739062,488440476,18267858,0,135808979,1114131,195336,0,5259170,48623337,0,50516070,0,9337813,1191527,6023338,167998386,0,147526650,920617,148447267,484367417,13127071,0,0,3890764,399802,16755860,34713497,117698780,493672,0,544095,118736547,153450044,330917373,330917373,484367417,0,0,168840248,394989560,563829808,323060058,322599231,460827,31466533,31927360,0,31927360,0.48,32202936,65796573
3277,NORTHERN NEVADA MEDICAL CENTER,2375 EAST PRATER WAY,SPARKS,NV,89431,WASHOE,U,469.23,"15,537",80,"29,200",4296,"24,433",116,"42,340","4,686",12464,68,24820,4296,2462430,17044043,4436134,9903421,37358227,81406355,6031046,90892358,480404051,483668884,964072935,9001915,0,38349738,195335,0,0,-1907938,0,0,48772308,-32223484,3422628,373554,0,17824855,0,0,2033062,2033062,57152197,4983481,2922147,0,0,0,538285,8443913,0,0,-63608857,0,-63608857,-55164944,112317141,112317141,57152197,6878496,0,480404051,483668884,964072935,111381508,100278412,11103096,1191716,12294812,0,12294812,0.09,5791498,126146356
3278,PALISADES MEDICAL CENTER,7600 RIVER ROAD,NORTH BERGEN,NJ,7047,HUDSON,U,"1,183.57","33,617",186,"67,890",7166,"33,617",186,"67,890","7,166",28725,176,64240,7166,18453062,25362146,23884780,26273051,84867197,119747519,10982015,173066453,491093833,366513996,857607829,37266861,0,84867197,1250262,461696,2165513,400,0,0,41952126,-21777467,2751456,65328,1701363,24708678,0,7961482,1706277,9667759,103245721,6764936,0,0,154536,0,425485,72563408,0,65820,0,12309347,12375167,84938575,18307146,18307146,103245721,10954259,4771715,489233890,373304881,862538771,184322854,204614716,-20291862,7739294,-12552568,0,-12552568,0.2,29910655,212824302
3279,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,8822,,U,"1,612.04","39,159",184,"67,160",8989,"69,030",184,"67,160","8,989",34073,172,62780,8989,4334037,7122476,7237523,7237523,142066126,131600931,23248421,207474295,301818905,448678671,750497576,30569372,0,132846710,1905981,247239,330391,44421789,38308814,0,44325307,0,0,3478184,6158873,139799553,0,213099,122715062,122928161,414739104,24956363,16572939,0,0,0,8881192,50410494,64125533,0,0,82618488,146744021,197154515,188921339,217584589,414739104,11236393,1619944,309111326,598918964,908030290,336998570,345797051,-8798481,33039726,24241245,0,24241245,0.28,55931926,73806564
3280,HOLY NAME HOSPITAL,718 TEANECK ROAD,TEANECK,NJ,07666-,BERGEN,U,"1,944.00","66,165",284,"103,660",12076,"134,578",307,"136,717","12,673",56966,265,96725,12076,3389327,14529553,6743530,21546446,159689401,237279335,12198612,370644395,719888948,1056426949,1776315897,28583714,0,159689401,1948696,84471,0,30933520,83051785,0,135868732,-85266853,9188108,6475252,8844619,232565317,0,4121992,47881001,52002993,413364292,38609261,16219870,2343043,0,0,4150830,61323004,0,75705018,0,44513651,120218669,181541673,220438936,231822619,413364292,0,0,668346159,1161434037,1829780196,442777482,399391928,43385554,14940264,58325818,0,58325818,0.21,46072317,293448700
3281,OUR LADY OF LOURDES MED. CTR.,1600 HADDON AVENUE,CAMDEN,NJ,8103,CAMDEN,U,"1,299.99","29,699",257,"47,288",5987,"32,276",301,"55,384","6,211",22884,199,36616,5987,2942669,2799605,4520255,4520255,50790044,111216777,5302184,157857786,666144569,343996586,1010141155,13934503,0,49600244,1205420,0,0,2371142,0,0,40325265,-7703717,6860867,2039514,1022719,46709992,0,0,53416833,53416833,192401683,25595327,5577388,0,0,151961,2961850,163474588,0,0,0,14476075,14476075,177950663,14451020,14451020,192401683,12496541,2492596,669911785,352394269,1022306054,157855482,162006821,-4151339,-5609104,-9760443,0,-9760443,0.16,30518042,186512123
3282,MEMORIAL HOSP OF BURLINGTON CTY,175 MADISON AVENUE,MT. HOLLY,NJ,8060,BURLINGTON,U,"1,339.64","70,597",317,"115,705",16298,"128,684",339,"123,735","17,258",62153,279,101835,16298,5575379,413002,6186047,13996461,109737011,224648008,17152551,271114234,1214704088,667448467,1882152555,23317306,0,109727526,1793542,0,0,245932,567091,0,42802993,-8371029,17989,1495197,2565866,39504716,0,522095702,82334235,604429937,783613608,12182451,6474720,0,792126,306591,5246344,16805871,8226320,0,0,22455824,30682144,47488015,736125593,736125593,783613608,19233906,853666,1151598618,763586469,1915185087,314327664,334385019,-20057355,-28342896,-48400251,-22376767,-26023484,0.14,35385099,299875126
3283,JERSEY CITY MEDICAL CENTER,355 GRAND STREET,JERSEY CITY,NJ,07302-4321,HUDSON,U,"1,966.21","68,653",296,"108,040",12620,"77,717",332,"121,180","13,822",54846,221,80665,12620,27977768,21998903,48475911,68608707,156457448,235427380,16641356,329927907,1166831179,755410236,1922241415,33107323,0,162653627,2703283,0,1446278,15685,0,0,61492853,-21573438,5572643,3647000,4585560,137659341,0,0,35227928,35227928,449890174,17134686,9901107,0,0,433775,24732445,52202013,0,0,0,259074191,259074191,311276204,138613970,138613970,449890174,22699906,3351470,1175334007,826482068,2001816075,381387714,391884828,-10497114,18462091,7964977,0,7964977,0.17,313420404,1997393925
3284,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,7018,ESSEX,U,620,"23,705",159,"58,035",4845,"34,256",196,"71,540","5,878",21015,144,52560,4845,6106298,235913,6225632,38396523,46579745,116717158,8022657,153405991,359576751,145263627,504840378,10444240,0,46579745,0,0,0,265320,0,0,21304470,0,1501183,3533725,0,-75908999,0,0,1658174,1658174,-66469432,9362316,3310623,0,0,382899,3444253,17214352,0,0,0,3552519,3552519,20766871,-87236303,-87236303,-66469432,0,0,371837266,136003925,507841191,86652403,168967715,-82315312,5017951,-77297361,0,-77297361,0.3,15074249,168472709
3285,GUTHRIE CORTLAND MEDICAL CENTER,134 HOMER AVENUE,CORTLAND,NY,13045,CORTLAND,R,603.84,"10,476",103,"37,698",2672,"44,937",194,"71,004","3,037",6219,91,33306,2672,590933,3295439,2148218,9867265,39090973,54640414,4875524,80456369,58247330,133512705,191760035,10463085,0,39090973,2703619,0,0,20010943,3081672,0,10392107,-4808672,1210297,1108109,0,31394885,0,97167,7843958,7941125,89408299,3116277,6766278,0,0,0,766086,24101639,0,0,0,30070666,30070666,54172305,35235994,35235994,89408299,0,0,72675301,123310670,195985971,80400393,93009990,-12609597,15118473,2508876,-912130,3421006,0.42,9539768,43383777
3286,AUBURN MEMORIAL HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,R,690.6,"16,420",85,"31,025",4007,"47,665",179,"65,335","4,493",13585,71,25915,4007,129546,5479443,2395186,9811077,46608337,60678267,4482767,95967091,117870368,156910681,274781049,11968483,0,46608337,4680791,0,0,2545416,0,0,33500140,-22077111,3873630,816957,0,19433101,0,0,58194728,58194728,104786174,8673072,8646068,0,4358864,0,4467644,26145648,0,6492870,0,2597490,9090360,35236008,69432326,69550166,104786174,0,0,122240027,159424661,281664688,103268477,107286604,-4018127,3235859,-782268,-148824,-633444,0.35,13863449,63689403
3287,ALTRU HEALTH SYSTEM-ALTRU HOSPITAL,1200 SOUTH COLUMBIA RD,GRAND FORKS,ND,58201-,GRAND FORKS,U,"3,079.01","52,402",247,"90,879",11205,"66,776",270,"99,274","11,455",41430,225,82125,11205,2586443,10597321,6727830,6727830,293257692,324890344,37985867,432454200,397152314,942391419,1339543733,34370025,0,293257692,10229480,0,412840,60788336,149056628,568141,72296588,0,8177489,2166667,0,293198137,0,19573162,56971365,76544527,607451110,25724223,0,0,59470242,733391,30284274,116277056,192611798,599226,0,34874949,228085973,344363029,263088081,263088081,607451110,6252837,2040646,396752314,1102965780,1499718094,542608827,618148036,-75539209,70812087,-4727122,0,-4727122,0.32,62607632,188704754
3288,INNOVIS HEALTH,3000 32ND AVENUE S,FARGO,ND,58103-,CASS,U,"1,516.01","31,030",137,"50,142",7478,"31,030",137,"50,142","7,478",16933,95,34770,7478,4203588,8428078,9953642,24306894,157514221,184864374,20593093,265609503,244378092,369776412,614154504,24241083,0,157476798,435648,10786,0,17201037,0,0,37262751,0,10006106,7202709,0,71672603,0,25317771,15681283,40999054,306752196,6890607,24671954,0,6256625,0,5114156,83305090,0,0,0,239641786,239641786,322946876,-16194680,-16194680,306752196,6388509,0,257182200,631200625,888382825,371930011,393973156,-22043145,19543095,-2500050,3919000,-6419050,0.43,20254429,80021461
